@relation django
@attribute fix numeric
@attribute ns numeric
@attribute nd numeric
@attribute nf numeric
@attribute entrophy numeric
@attribute la numeric
@attribute ld numeric
@attribute lt numeric
@attribute ndev numeric
@attribute age numeric
@attribute nuc numeric
@attribute exp numeric
@attribute rexp numeric
@attribute sexp numeric
@attribute contains_bug numeric
@data
0,1,2,7,1.635726,1885,0,0,1,0,0,3,0,6,0
0,1,33,114,5.193401,13851,0,0,1,0,0,63.5,0,113,1
0,2,4,14,2.635726,1885,1885,134.642857,2,0.363947,7,6.5,1.18301,6,0
0,2,2,4,1.11229,78,0,0,1,0,0,15.5,0,7,0
0,1,1,1,0,6,2,109,1,0.815266,1,121,2.226593,114,1
1,1,1,1,0,3,0,412,1,1.004468,1,122,1.995552,115,1
0,1,6,8,2.789898,15,15,543.5,1,1.077222,8,126.5,1.315378,123,1
0,1,1,1,0,3,2,199,1,1.10919,1,131,1.901559,124,1
0,1,1,1,0,54,105,200,1,0.017176,2,132,59.221024,125,1
0,1,1,1,0,0,48,48,2,0.968623,1,18,2.032394,8,0
0,1,10,20,3.074304,1089,1088,58.9,1,0.573972,10,142.5,1.439556,145,0
1,1,1,1,0,1,1,12,1,0.008981,1,153,112.340206,146,1
1,1,1,1,0,9,9,12,1,0.001308,2,154,765.60177,147,1
1,1,1,1,0,1,1,12,1,0.001597,3,155,627.086957,148,0
0,1,1,1,0,82,48,258,2,1.021597,1,156,1.978859,0,0
1,1,1,1,0,4,3,292,2,0.068843,2,19,15.525891,9,0
0,1,1,4,1.260039,862,1044,476.5,2,0.966727,6,21.5,2.991137,13,0
1,1,1,1,0,6,8,595,2,0.004167,2,24,241,14,0
1,1,1,2,0.918296,6,6,658.5,2,0.00544,5,25.5,195.922964,16,0
1,1,1,1,0,3,3,593,2,0.001053,4,27,950.450549,17,0
0,1,1,2,0,0,0,0,2,1.847187,2,28.5,1.406023,19,0
1,1,1,2,0.153742,312,3,362,2,0.304873,3,30.5,1.320014,21,0
0,1,1,2,0.467417,191,10,154,2,0.009178,1,32.5,27.738335,23,0
0,1,1,1,0,28,17,96,2,0.650984,2,157,2.536137,1,0
1,1,1,1,0,1,1,107,2,0.006632,3,158,151.78534,2,0
1,1,1,1,0,3,5,51,1,2.639838,1,159,1.378811,149,1
0,1,1,2,0.970951,5,5,24,1,2.643183,2,160.5,1.283749,151,1
0,1,1,1,0,139,0,0,1,0,0,34,0,24,0
0,1,9,15,2.957426,40,34,194.133333,1,2.098616,18,169,1.190339,166,1
0,1,1,1,0,8,2,107,2,0.062546,4,177,16.988157,3,0
1,2,2,2,0.773227,19,3,1225.5,2,1.194821,6,178.5,1.513908,4,0
0,1,1,1,0,4,38,45,1,2.744583,1,180,1.364354,168,0
1,1,1,1,0,1,1,113,2,0.068808,5,181,15.533221,5,0
0,1,1,1,0,1,1,27,1,2.020613,1,35,1.494899,3,0
0,1,1,1,0,6,1,113,2,0.002303,6,182,435.170854,6,0
0,1,1,1,0,2,3,2159,2,0.044803,3,36,23.319814,0,0
0,2,2,2,0.982859,15,11,5.5,1,0.01077,2,183.5,47.426652,169,1
0,1,1,1,0,164,0,0,1,0,0,185,0,1,0
0,1,1,3,1.240729,223,27,339.666667,2,0.313445,17,38,8.260727,27,0
0,2,2,2,0.970951,3,2,215,1,0.920353,3,186.5,1.549231,2,1
1,1,1,1,0,1,0,308,2,0.20522,2,40,5.872822,28,0
0,1,1,1,0,75,0,0,1,0,0,41,0,29,0
0,1,1,1,0,30,0,0,1,0,0,188,0,7,0
1,1,1,1,0,4,3,30,1,0.003762,1,42,266.846154,30,0
0,1,1,1,0,56,54,725,2,0.259016,4,0,0,0,0
1,1,1,1,0,1,1,727,2,0.001678,5,43,596.862069,31,0
0,1,1,1,0,32,4,31,1,0.016921,2,189,60.097127,8,0
0,1,1,1,0,2,0,59,1,0.000822,3,190,1217.901408,9,0
0,1,1,1,0,1,1,61,1,0.000741,4,191,1351,10,0
1,1,1,1,0,1,1,61,1,0.014525,5,192,69.844622,11,0
0,1,1,1,0,2,0,415,1,0.068588,3,193,15.579818,171,1
1,1,1,1,0,1,1,31,1,2.877234,1,194,1.347556,172,1
0,1,1,1,0,3,2,31,1,0.002396,2,195,418.391304,173,0
0,1,1,1,0,5,0,0,1,0,0,196,0,174,1
1,1,1,2,1,3,1,18.5,1,0.001725,4,197.5,772.053399,176,1
0,1,1,1,0,6,0,61,1,0.020313,6,199,50.230769,12,0
0,1,1,1,0,2,1,67,1,0.000799,7,200,1253.173913,13,0
