@relation nova
@attribute fix numeric
@attribute ns numeric
@attribute nd numeric
@attribute nf numeric
@attribute entrophy numeric
@attribute la numeric
@attribute ld numeric
@attribute lt numeric
@attribute ndev numeric
@attribute age numeric
@attribute nuc numeric
@attribute exp numeric
@attribute rexp numeric
@attribute sexp numeric
@attribute contains_bug numeric
@data
2,4,5,6,7,8,9,10,11,12,13,14,15,16,3
0,7,254,1877,9.559288,430845,0,0,1,0,0,938,0,1759,0
0,1,1,1,0,11,0,0,1,0,0,1877,0,4,0
0,2,8,30,4.014124,1018,864,205.533333,1,2.67787,30,1892.5,1.049728,5,1
0,1,4,6,1.375412,362,515,382.833333,1,1.149144,12,2.5,1.043635,5,1
0,1,1,1,0,1,1,407,1,0.559155,3,6,2.788413,6,0
1,1,1,2,0.918296,16,8,344,1,3.27338,3,7.5,1.184779,8,0
0,1,1,1,0,27,6,158,1,4.612963,1,9,1.21678,0,0
1,1,1,1,0,13,0,96,1,13.481725,1,0,0,0,1
0,2,2,2,0.70808,76,12,35,2,6.825799,1,0.5,0.536626,0,0
0,1,1,1,0,24,3,117,2,0.123576,2,2,9.092161,1,0
0,1,1,1,0,4,1,138,2,0.06331,3,3,16.795247,2,0
0,1,1,1,0,3,0,141,2,0.001065,4,4,940.130435,3,0
0,2,3,3,1.036096,223,6,76.333333,2,8.523426,3,2,1.060237,2,1
0,1,1,1,0,2,0,109,1,0.645208,2,4,2.549887,3,0
1,1,1,1,0,4,4,566,1,10.658935,3,10,1.093818,9,1
1,1,1,1,0,2,6,566,1,0.00022,4,11,4548.368421,10,1
0,1,1,1,0,3,0,407,1,10.10081,4,12,1.099002,11,1
1,1,1,1,0,18,18,222,1,14.488079,1,13,1.069022,12,0
1,1,1,1,0,13,2,222,1,0.013611,2,14,74.469388,13,1
0,1,1,2,0.888213,150,128,321.5,1,12.589491,4,15.5,1.054333,15,1
1,1,1,1,0,11,6,232,2,0.381447,2,17,3.621598,16,1
0,1,1,1,0,1,1,17,2,2.099201,1,1908,1.476372,6,0
0,1,1,2,0.56651,30,0,233,1,13.127002,4,1909.5,1.057134,94,0
0,1,1,1,0,114,55,315,1,2.679248,3,1911,1.373239,95,1
0,2,2,2,0.712214,333,0,0,1,0,0,5.5,0,0,1
0,1,1,1,0,14,14,144,2,9.82919,5,1912,1.101738,21,0
0,1,1,1,0,1,1,34,2,0,3,1913,0,7,0
0,1,1,2,0.56651,30,0,277.5,1,6.524844,7,1914.5,1.134743,97,0
0,1,1,1,0,24,3,190,2,0,7,9,0,5,0
0,2,2,2,0.712637,75,12,80.5,2,3.959572,8,7.5,1.126281,4,0
0,1,1,1,0,3,0,214,2,0,9,11,0,7,0
0,1,1,1,0,4,1,211,2,0,8,10,0,6,0
0,1,1,1,0,11,11,217,2,0.000475,10,1916,2108.317073,22,0
0,2,2,3,0.915913,88,229,111,1,0.617346,2,13,1.719928,2,0
0,3,3,3,0.742668,170,22,69.333333,2,8.376142,3,16,1.040539,3,0
0,1,1,1,0,24,0,562,1,11.452153,5,0,0,0,1
0,1,1,1,0,0,10,586,1,0.00441,6,1,227.771654,1,0
0,2,2,2,0.433548,561,0,0,1,0,0,2.5,0,2,1
1,1,1,1,0,7,4,251,1,24.100324,2,1917,1.041493,98,1
0,1,1,1,0,6,0,0,1,0,0,1918,0,0,0
0,1,1,5,0.742151,666,0,0,1,0,0,1921,0,4,1
0,4,8,13,3.025332,487,6,131.923077,2,14.511208,16,11,1.011316,12,1
1,1,1,1,0,4,7,254,1,0.101296,3,1924,10.872029,99,1
0,1,1,2,0.696212,31,1,529.5,2,12.10081,8,24.5,1.04132,23,0
0,1,1,2,0.726528,172,1,346.5,2,6e-06,4,18.5,43200.5,14,1
0,2,3,4,0.762141,191,0,274,2,15.289664,12,21.5,0.769583,21,1
0,1,1,1,0,15,1,576,1,0.936759,7,19,2.06751,18,1
0,1,5,6,2.213905,108,93,348,1,9.938432,27,6.5,1.022623,8,1
0,1,1,1,0,25,2,420,2,1.2e-05,6,18,86401,17,1
1,1,1,1,0,8,9,617,1,0,9,21,0,16,1
0,1,1,1,0,16,0,0,1,0,0,1925,0,8,0
1,1,3,3,1.006463,59,37,317.666667,1,8.95983,15,1,0.691469,2,1
0,1,1,1,0,27,0,590,1,0,8,20,0,15,0
0,1,1,1,0,0,0,0,1,0,0,3,0,0,0
0,1,1,1,0,7,2,530,1,1.2e-05,5,17,86401,15,1
1,1,1,1,0,1,1,400,1,3.210162,5,31,1.311511,27,0
0,1,2,6,2.552724,10,10,157.666667,2,16.389213,14,13.5,1.016796,14,1
0,1,1,1,0,0,0,0,1,1.2e-05,1,10,86401,1,0
1,1,1,1,0,3,3,627,1,1.2e-05,12,32,86401,27,1
0,1,1,1,0,3,0,443,2,1.2e-05,7,18,86401,16,0
1,1,2,2,1,3,1,445,1,6e-06,19,19.5,43200.5,18,1
0,1,1,1,0,1,1,400,1,0,6,32,0,28,0
0,1,1,1,0,5,5,97,2,2.435602,2,30,1.410576,2,0
0,2,3,4,1.731745,41,47,302.5,2,2e-05,12,27.5,25406.71429,26,1
1,1,4,10,1.455873,153,104,220.2,2,7.796067,29,26.5,1.030597,26,1
1,1,2,2,0.650022,7,5,588,3,6e-06,25,35.5,86401,32,1
0,1,3,3,1.402081,13,4,148.666667,3,4e-06,15,29,86401,27,1
0,1,2,2,0.818403,48,7,41.5,3,0,1,26.5,0,24,0
1,1,1,1,0,2,6,632,3,0,21,41,0,37,0
0,1,1,1,0,7,8,266,3,0,8,25,0,22,1
0,1,1,1,0,1,1,627,3,0,15,33,0,29,1
0,1,1,1,0,3,3,631,3,0,19,37,0,33,1
0,2,4,4,0.338021,86,1,248,3,1.2e-05,25,22.5,59401,2,1
0,1,3,3,1.192368,26,30,334.333333,3,0,35,39,0,36,1
1,1,1,1,0,4,2,627,3,0,16,33,0,28,0
0,1,1,1,0,1,1,629,3,0,17,34,0,30,0
1,1,1,1,0,2,2,141,1,12.376528,2,48,1.080798,43,0
1,1,1,1,0,2,1,627,3,0,23,43,0,39,0
1,1,1,1,0,11,12,628,3,1.2e-05,22,42,86401,38,1
1,1,1,1,0,4,5,632,3,0,28,57,0,51,1
0,1,1,1,0,9,20,215,2,0,5,47,0,42,0
0,1,1,1,0,9,0,138,2,0,3,56,0,1,0
0,1,2,2,0.811278,3,5,450,3,0,38,52.5,0,48,1
1,1,2,2,1,12,12,448,3,6e-06,35,49.5,43200.5,45,1
0,1,1,1,0,5,1,628,3,0,25,51,0,46,1
1,1,2,2,1,8,6,301,2,2.3e-05,9,45.5,32401,41,0
1,1,2,2,0.811278,4,4,449,3,0,40,54.5,0,50,1
0,1,1,1,0,9,0,129,2,4.6e-05,2,44,21601,0,0
0,1,1,1,0,1,1,446,2,3.5e-05,8,70,28801,61,1
0,1,1,1,0,5,1,631,3,1.2e-05,29,58,86401,52,1
0,1,2,2,0.918296,2,1,364.5,3,0,33,60.5,0,55,1
0,1,1,1,0,6,0,227,2,0,6,65,0,5,0
0,1,1,1,0,9,2,220,2,3.5e-05,4,62,28801,3,0
0,1,1,1,0,43,35,635,3,0,31,64,0,56,1
0,1,1,1,0,10,14,643,3,0,32,67,0,58,1
0,1,1,1,0,1,1,227,2,0,5,63,0,4,0
1,1,1,1,0,1,1,639,3,0,33,68,0,59,1
1,1,1,1,0,1,1,639,3,0,34,69,0,60,1
0,1,1,1,0,1,0,93,2,3.5e-05,2,59,28801,53,0
0,1,1,1,0,1,0,58,2,5.8e-05,1,66,17281,57,0
0,1,1,1,0,1,1,514,1,0,2,74,0,2,0
1,1,1,1,0,11,3,498,1,0,5,78,0,6,1
0,1,1,1,0,1,1,639,3,0,36,79,0,63,1
1,1,1,1,0,1,1,639,3,1.2e-05,35,71,86401,62,0
1,2,3,3,0.900338,24,23,165.333333,3,4.2e-05,11,83,13419.18182,1,1
1,1,1,2,0.23349,38,67,330,1,6.9e-05,2,72.5,10801,1,1
0,1,1,2,0.329846,9,24,315.5,1,0,5,75.5,0,4,0
0,1,1,1,0,34,1,233,2,1.2e-05,7,34,86401,1,0
1,1,1,1,0,2,1,547,3,3.5e-05,8,81,28801,64,0
0,1,1,1,0,9,10,499,1,0,4,77,0,5,1
1,1,1,1,0,8,4,506,1,0,6,80,0,7,0
0,1,1,1,0,3,3,58,1,0,3,88,0,68,0
0,1,1,1,0,4,3,217,2,3.209745,11,35,1.311551,0,0
0,1,1,1,0,9,3,175,2,0,7,4,0,4,0
0,1,1,1,0,3,2,548,3,1.2e-05,9,36,86401,29,0
0,1,1,1,0,2,0,266,2,1.2e-05,8,85,86401,6,0
1,1,1,1,0,1,1,268,2,0,9,87,0,7,0
0,1,1,2,0.684038,10,1,99.5,2,13.43978,6,1.5,0.518601,2,0
0,1,1,1,0,3,3,58,1,24.20169,2,86,1.041319,67,0
1,1,3,6,2.022503,209,64,458.666667,1,26.87956,6,91.5,1.015191,5,0
0,1,1,1,0,7,0,168,2,0,6,3,0,3,0
0,1,1,1,0,2,2,233,1,12.37787,3,95,1.080789,69,1
0,1,1,1,0,12,0,147,2,3.5e-05,4,0,0,0,0
0,1,1,1,0,3,2,639,3,2.3e-05,37,37,43201,30,1
0,1,1,1,0,0,1,51,1,0,2,4,0,1,0
0,1,3,4,1.588348,483,0,0,1,0,0,97.5,0,9,0
0,1,1,1,0,1,0,50,1,0.328762,1,38,4.041718,2,0
0,1,1,5,1.887235,195,89,126.6,2,0.027993,11,7,17.419367,4,1
0,7,22,121,6.897195,1707,1168,169.008264,5,16.388557,316,70,1.00296,24,1
0,1,1,3,0.454181,75,0,13.333333,3,0.038156,2,132,9.736097,2,0
0,5,12,81,6.33985,81,81,153.320988,5,0.04919,346,140,2.249336,11,1
0,1,1,1,0,6,0,257,5,0.000914,5,181,1094.670886,137,0
1,1,1,1,0,27,14,841,5,0,11,183,0,139,0
1,1,1,1,0,3,1,839,5,0.000914,10,182,1094.670886,138,0
1,1,1,1,0,17,2,238,5,0.00662,6,184,152.048951,140,0
0,1,1,1,0,0,2,206,5,0.009329,4,185,108.19603,141,0
0,1,1,1,0,4,3,253,5,0.003889,7,186,258.142857,142,0
0,1,1,1,0,4,4,254,5,0.014109,8,187,71.877769,143,0
1,1,1,1,0,1,1,169,5,0.43941,5,31,3.27578,28,1
0,1,1,1,0,23,2,645,5,0.500752,40,188,2.996995,144,0
0,2,2,2,0.918296,5,1,408,5,0.608252,26,32.5,2.233041,29,1
1,1,1,1,0,2,1,101,5,0.905671,6,189,2.104153,145,0
1,1,3,3,1.419556,9,4,284.333333,5,0.440787,52,191,87.015386,148,1
0,1,1,1,0,2,0,273,5,0.918252,12,193,2.089025,14,0
0,1,1,1,0,8,10,854,5,1.453426,12,194,1.68803,149,0
1,1,1,1,0,3,4,89,5,0.549155,5,195,2.820979,150,0
0,3,7,10,1.90512,534,71,226.8,5,1.379649,61,22.5,1.187428,3,1
0,1,1,1,0,2,0,254,5,1.740451,9,196,1.574564,151,0
1,2,6,8,1.685425,170,179,319.875,5,0.130914,61,31.5,3.595072,4,1
1,1,1,1,0,2,2,146,5,2.649618,5,197,1.377413,152,0
1,1,1,1,0,10,6,566,5,1.104213,14,36,1.905622,18,1
0,1,1,2,0.538554,162,49,432,5,2.023351,21,37.5,1.573754,20,1
0,1,1,1,0,74,58,145,5,4.00287,6,198,1.249821,153,1
0,1,1,1,0,8,11,853,5,2.178391,15,199,1.459054,154,1
0,1,1,1,0,98,75,161,5,0.019329,7,200,52.736527,155,1
1,1,1,1,0,7,6,850,5,0.611319,16,201,2.635806,156,0
0,1,1,1,0,1,1,226,5,4.620347,4,202,1.216434,157,0
0,1,1,1,0,1,1,851,5,0.005613,17,203,179.14433,158,0
0,1,1,1,0,2,0,184,5,0.59919,8,204,2.66892,159,1
1,1,2,2,0.604373,70,45,187.5,5,4.377737,25,205.5,1.163902,161,1
0,1,1,1,0,14,18,287,5,0.016782,18,207,60.586207,162,1
0,1,1,1,0,107,52,851,5,0.238252,18,208,5.197231,163,0
1,1,1,1,0,105,79,186,5,0.264722,9,209,4.777545,164,1
0,1,3,4,1.43498,36,109,413.25,5,2.307092,50,40.5,1.241162,24,1
0,1,1,1,0,4,1,439,5,0.012442,12,43,81.372093,25,1
0,1,1,1,0,8,8,288,5,0.446782,20,210,3.238226,165,1
0,1,1,1,0,37,25,212,5,0.51691,10,211,2.934574,166,1
0,1,2,2,0.391244,109,34,553,5,3.185845,26,212.5,1.739558,168,1
0,1,1,1,0,8,5,970,5,0.018542,20,214,54.932584,169,0
0,1,3,6,1.469097,3,418,286.666667,5,3.935287,46,217.5,3.81108,175,1
0,1,1,5,1.887235,195,89,151,5,5.733611,25,136,1.077669,13,0
0,6,13,95,6.55842,1470,935,143.978947,5,4.628306,526,186,1.01122,1,0
0,5,12,81,6.33985,81,81,162.839506,5,0.000231,579,261,266.483998,1,0
0,1,1,12,3.371896,28,8,23.333333,2,22.240856,8,5.5,0.925745,11,0
0,1,1,1,0,101,10,45,3,6.3675,3,12,1.157048,12,0
0,1,1,1,0,1,1,977,5,0.514201,24,13,2.944763,0,0
1,1,1,1,0,1,0,575,5,0.514444,17,14,2.943844,1,0
0,1,1,1,0,2,2,551,5,0.514734,15,15,2.942752,2,1
0,1,1,1,0,1,1,977,5,0.062824,25,302,16.917465,243,0
1,1,1,1,0,7,7,576,5,0.063299,18,303,16.798135,244,0
0,1,1,1,0,6,5,576,5,0.004687,19,304,214.333333,245,0
0,1,1,1,0,5,3,222,5,6.625081,13,305,1.150942,0,0
0,1,1,1,0,4,2,224,5,0.002419,14,306,414.397129,1,0
0,1,1,1,0,1,1,136,3,0.852847,4,16,2.172543,13,0
0,1,1,1,0,4,8,551,5,2.035451,16,307,1.491292,246,0
0,1,1,3,1.579376,50,15,432.333333,5,0.850251,47,312,1.392041,252,1
1,1,2,4,1.496015,28,7,356.75,6,0,73,315.5,0,256,1
0,1,2,3,1.480682,44,10,598.666667,5,1.506547,81,309,588.998154,249,1
0,1,1,4,2,12,4,4,2,4.833264,4,18.5,1.10776,17,0
0,1,1,1,0,1,2,162,6,2.796782,10,21,1.357554,3,0
0,1,1,1,0,6,0,181,2,11.338588,8,22,1.088194,18,0
0,1,1,2,0.591673,7,0,96,3,0.012251,11,23.5,1129.098543,20,0
0,1,1,3,1.295462,7,3,68,3,3.789788,15,26,34.124105,23,0
1,1,1,1,0,1,1,194,3,0.00037,11,28,2701,24,0
0,1,1,4,2,4,4,7,3,0.111108,10,30.5,5.640438,28,0
0,1,1,2,0.811278,8,0,97,3,0.171661,12,33.5,3.91272,30,0
0,1,1,2,0.918296,2,1,102.5,3,0.138513,18,35.5,55.876141,32,0
0,1,1,1,0,2,2,198,3,0.003102,14,37,323.38806,33,0
0,1,1,5,1.552414,27,1,67.2,4,2.304847,22,40,1.398281,38,0
0,1,1,3,1.405639,8,0,72,4,0.574591,20,44,16.310184,41,0
0,2,2,4,1.75,7,1,123.5,6,1.709086,36,47.5,1.148678,44,0
0,2,2,2,0.918296,6,0,447,7,1.999068,64,50.5,865.125058,4,0
0,1,1,2,0.721928,3,2,108.5,7,0.416458,25,52.5,54.802271,47,0
0,1,1,2,0.764205,8,1,172.5,7,0.282853,26,54.5,4.456811,49,0
0,2,4,6,1.959545,129,8,176.666667,6,5.987249,52,36.5,0.886635,34,1
0,1,1,1,0,62,44,185,7,0,10,47,0,40,1
0,3,6,7,2.217371,91,29,291.142857,7,5.961554,98,43,24.894836,39,1
0,1,1,1,0,3,4,203,7,0.006319,11,48,159.241758,41,1
1,1,2,2,1,2,2,414,7,0.006377,59,49.5,118.604356,43,1
1,1,1,1,0,1,1,129,7,2.3e-05,12,51,43201,44,0
1,2,2,2,0.995727,42,36,144,7,0.003912,14,318.5,135.60909,257,1
0,1,1,1,0,5,1,977,5,7.383623,26,320,1.135435,258,0
0,1,1,1,0,13,0,216,7,1.219977,21,321,1.819688,2,0
0,1,1,1,0,1,1,981,5,0.633935,27,322,2.577448,259,0
0,1,1,1,0,6,0,229,7,0.639398,22,323,2.563971,3,0
0,1,1,1,0,10,4,129,7,0.93684,13,324,2.067418,260,1
0,1,1,1,0,1,1,135,7,0.005162,14,325,194.721973,261,0
0,1,1,1,0,1,1,231,5,8.651204,7,326,1.115591,262,0
1,1,1,1,0,11,6,981,5,0.109479,28,327,10.134158,263,0
0,1,1,3,1.128863,62,54,271,5,8.777616,29,235,1.069622,20,1
1,1,1,3,1.372569,21,43,273.666667,5,0.029838,32,238,21.480993,23,0
0,1,1,3,1.548253,74,35,266.333333,5,0.439456,35,241,2.390608,26,1
0,1,1,1,0,1,1,699,7,2.162072,49,328,1.462519,264,1
0,2,2,12,3.550341,12,10,68.25,7,9.376824,63,61.5,1.038528,60,0
1,1,1,1,0,1,1,986,5,4.036007,29,329,1.24777,265,0
0,1,1,1,0,6,0,236,7,0.197465,24,330,6.064181,4,0
0,1,1,1,0,13,8,231,5,4.142083,8,68,1.241424,5,1
1,1,1,1,0,1,1,293,5,13.976551,23,331,1.071548,266,0
0,1,1,1,0,6,0,242,7,1.23463,25,332,1.80996,5,0
1,1,2,3,1.347073,9,15,397.333333,5,13.745559,44,45,1.04234,28,1
1,2,2,2,1,2,2,186,7,5.045718,16,0.5,0.549547,0,0
0,1,1,1,0,3,0,34,2,24.017697,4,52,1.041636,3,0
0,1,1,1,0,1,1,37,2,0.003218,5,53,311.791367,4,0
0,1,1,1,0,1,1,37,2,0.001134,6,54,882.632653,5,0
0,1,1,1,0,1,1,37,2,0.001042,7,55,961,6,0
0,1,1,1,0,1,1,37,2,0.001505,8,56,665.615385,7,0
0,1,1,1,0,1,0,37,2,0.010104,9,57,99.969072,8,0
0,1,1,1,0,1,1,38,2,0.001319,10,58,758.894737,9,0
0,1,1,1,0,5,3,699,7,4.989977,50,1926,1.200402,100,1
1,1,1,1,0,1,1,606,7,7.176227,22,47,1.139349,29,1
0,1,1,1,0,1,1,38,2,0.021551,11,59,47.401719,10,0
1,1,1,1,0,0,5,588,5,0.284201,23,48,4.518632,30,0
1,1,1,1,0,1,1,75,5,14.883819,6,49,1.067187,5,0
