org::eclipse::jdt::internal::core::search::indexing::IndexBinaryFolder ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15
org::eclipse::jdt::internal::compiler::codegen::CachedIndexEntry ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
org::eclipse::jdt::internal::core::CompilationUnitVisitor ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; 15 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1
org::eclipse::jdt::internal::compiler::ast::ASTNode ; 171 ; 171 ; 171 ; 171 ; 171 ; 171 ; 171 ; 171 ; 171 ; 171 ; 171 ; 171 ; 171 ; 171 ; 171 ; 171 ; 171 ; 171 ; 171 ; 171 ; 171 ; 171 ; 171 ; 171 ; 171 ; 171 ; 171 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190 ; 190
org::eclipse::jdt::internal::compiler::lookup::MemberTypeBinding ; 6 ; 6 ; 6 ; 6 ; 6 ; 6 ; 6 ; 6 ; 6 ; 6 ; 6 ; 6 ; 6 ; 6 ; 6 ; 6 ; 6 ; 6 ; 6 ; 6 ; 6 ; 6 ; 6 ; 6 ; 6 ; 6 ; 6 ; 6 ; 6 ; 6 ; 6 ; 6 ; 6 ; 6 ; 6 ; 6 ; 6 ; 6 ; 6 ; 6 ; 6 ; 6 ; 6 ; 6 ; 6 ; 6 ; 10 ; 10 ; 10 ; 10 ; 10 ; 10 ; 10 ; 10 ; 10 ; 10 ; 10 ; 10 ; 10 ; 10 ; 10 ; 10 ; 10 ; 10 ; 10 ; 10 ; 10 ; 10 ; 10 ; 10 ; 10 ; 10 ; 10 ; 10 ; 10 ; 10 ; 10 ; 10 ; 10 ; 10 ; 10 ; 10 ; 10 ; 10 ; 10 ; 10 ; 10 ; 10 ; 10 ; 10
org::eclipse::jdt::internal::eval::CodeSnippetParser ; 703 ; 703 ; 703 ; 703 ; 780 ; 780 ; 780 ; 780 ; 780 ; 780 ; 780 ; 780 ; 780 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820 ; 820
org::eclipse::jdt::internal::formatter::Location ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1
org::eclipse::jdt::core::dom::SingleMemberAnnotation ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78 ; 78
org::eclipse::jdt::internal::compiler::parser::NLSTag ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; 3 ; 6 ; 6 ; 6 ; 6 ; 6 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1
org::eclipse::jdt::internal::compiler::parser::RecoveredBlock ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 55 ; 105 ; 105 ; 105 ; 105 ; 105 ; 105 ; 105 ; 105 ; 105 ; 105 ; 105
