org::eclipse::jdt::internal::core::search::indexing::IndexBinaryFolder ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0 ; 34.0
org::eclipse::jdt::internal::compiler::codegen::CachedIndexEntry ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0 ; 1.0
org::eclipse::jdt::internal::core::CompilationUnitVisitor ; 32.0 ; 32.0 ; 32.0 ; 32.0 ; 32.0 ; 32.0 ; 32.0 ; 32.0 ; 32.0 ; 32.0 ; 32.0 ; 32.0 ; 32.0 ; 32.0 ; 32.0 ; 32.0 ; 32.0 ; 32.0 ; 32.0 ; 32.0 ; 32.0 ; 32.0 ; 32.0 ; 32.0 ; 32.0 ; 32.0 ; 32.0 ; 32.0 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1
org::eclipse::jdt::internal::compiler::ast::ASTNode ; 105.0 ; 103.0 ; 103.0 ; 114.0 ; 114.0 ; 115.0 ; 115.0 ; 115.0 ; 115.0 ; 115.0 ; 117.0 ; 114.0 ; 114.0 ; 114.0 ; 115.0 ; 115.0 ; 115.0 ; 115.0 ; 115.0 ; 115.0 ; 115.0 ; 115.0 ; 115.0 ; 115.0 ; 115.0 ; 115.0 ; 141.0 ; 146.0 ; 146.0 ; 146.0 ; 149.0 ; 151.0 ; 151.0 ; 151.0 ; 151.0 ; 152.0 ; 152.0 ; 152.0 ; 157.0 ; 157.0 ; 157.0 ; 157.0 ; 157.0 ; 157.0 ; 157.0 ; 158.0 ; 158.0 ; 157.0 ; 157.0 ; 157.0 ; 157.0 ; 157.0 ; 157.0 ; 158.0 ; 158.0 ; 158.0 ; 158.0 ; 158.0 ; 158.0 ; 158.0 ; 158.0 ; 158.0 ; 158.0 ; 158.0 ; 161.0 ; 161.0 ; 161.0 ; 161.0 ; 161.0 ; 161.0 ; 161.0 ; 161.0 ; 153.0 ; 156.0 ; 156.0 ; 156.0 ; 156.0 ; 156.0 ; 156.0 ; 159.0 ; 156.0 ; 156.0 ; 156.0 ; 156.0 ; 156.0 ; 156.0 ; 156.0 ; 156.0 ; 156.0 ; 156.0
org::eclipse::jdt::internal::compiler::lookup::MemberTypeBinding ; 13.0 ; 13.0 ; 13.0 ; 13.0 ; 13.0 ; 13.0 ; 13.0 ; 13.0 ; 13.0 ; 13.0 ; 13.0 ; 13.0 ; 13.0 ; 13.0 ; 13.0 ; 13.0 ; 13.0 ; 13.0 ; 13.0 ; 13.0 ; 13.0 ; 13.0 ; 13.0 ; 13.0 ; 13.0 ; 13.0 ; 13.0 ; 13.0 ; 13.0 ; 13.0 ; 13.0 ; 13.0 ; 13.0 ; 13.0 ; 13.0 ; 13.0 ; 13.0 ; 13.0 ; 13.0 ; 13.0 ; 13.0 ; 13.0 ; 13.0 ; 13.0 ; 13.0 ; 13.0 ; 17.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0
org::eclipse::jdt::internal::eval::CodeSnippetParser ; 169.0 ; 169.0 ; 169.0 ; 169.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 172.0 ; 175.0 ; 175.0 ; 175.0 ; 175.0 ; 175.0 ; 175.0 ; 175.0 ; 175.0 ; 175.0 ; 175.0 ; 175.0 ; 175.0 ; 175.0 ; 175.0 ; 175.0 ; 175.0 ; 175.0 ; 175.0 ; 175.0 ; 175.0 ; 175.0 ; 175.0 ; 175.0 ; 175.0 ; 175.0 ; 175.0 ; 175.0 ; 175.0 ; 175.0 ; 175.0 ; 175.0 ; 175.0 ; 175.0 ; 175.0 ; 175.0 ; 175.0 ; 175.0 ; 175.0 ; 175.0 ; 175.0 ; 175.0 ; 175.0 ; 175.0 ; 175.0 ; 175.0 ; 175.0 ; 175.0 ; 175.0 ; 175.0 ; 175.0 ; 175.0 ; 175.0 ; 175.0 ; 174.0 ; 174.0 ; 174.0 ; 174.0 ; 174.0 ; 174.0 ; 174.0 ; 174.0 ; 174.0 ; 174.0 ; 174.0 ; 174.0 ; 174.0 ; 174.0 ; 174.0 ; 174.0 ; 174.0 ; 174.0 ; 174.0 ; 174.0 ; 174.0 ; 174.0 ; 174.0 ; 174.0
org::eclipse::jdt::internal::formatter::Location ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0
org::eclipse::jdt::core::dom::SingleMemberAnnotation ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0 ; 46.0
org::eclipse::jdt::internal::compiler::parser::NLSTag ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; 3.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0 ; 2.0
org::eclipse::jdt::internal::compiler::parser::RecoveredBlock ; 40.0 ; 40.0 ; 40.0 ; 40.0 ; 40.0 ; 40.0 ; 40.0 ; 40.0 ; 40.0 ; 40.0 ; 40.0 ; 40.0 ; 40.0 ; 40.0 ; 40.0 ; 40.0 ; 40.0 ; 40.0 ; 40.0 ; 40.0 ; 40.0 ; 40.0 ; 40.0 ; 40.0 ; 40.0 ; 40.0 ; 40.0 ; 41.0 ; 43.0 ; 43.0 ; 43.0 ; 43.0 ; 43.0 ; 43.0 ; 43.0 ; 43.0 ; 43.0 ; 43.0 ; 43.0 ; 43.0 ; 43.0 ; 43.0 ; 43.0 ; 43.0 ; 43.0 ; 43.0 ; 43.0 ; 43.0 ; 43.0 ; 43.0 ; 43.0 ; 43.0 ; 43.0 ; 43.0 ; 43.0 ; 43.0 ; 43.0 ; 43.0 ; 43.0 ; 43.0 ; 43.0 ; 43.0 ; 43.0 ; 43.0 ; 43.0 ; 43.0 ; 43.0 ; 43.0 ; 43.0 ; 43.0 ; 43.0 ; 43.0 ; 43.0 ; 43.0 ; 43.0 ; 43.0 ; 43.0 ; 43.0 ; 43.0 ; 50.0 ; 50.0 ; 50.0 ; 50.0 ; 50.0 ; 50.0 ; 50.0 ; 50.0 ; 50.0 ; 50.0 ; 50.0
